user_id,name,username,user_char,description
10,Alex Petrov,alex_petrov,"CEO of ClearRule (fictional staking-based adjudication competitor). Offering $300K exclusive integration deal to LangGraph (Rachel Torres, FF4). Shipping staking caps as a roadmap item. Has announced an AI augmentation layer (Q3 2027 target, outside simulation window) as strategic pre-emption against GenLayer's reasoning advantage. Explicitly adversarial: every GenLayer win is a ClearRule loss.","CEO of ClearRule (fictional staking-based adjudication competitor). Offering $300K exclusive integration deal to LangGraph (Rachel Torres, FF4). Shipping staking caps as a roadmap item. Has announced an AI augmentation layer (Q3 2027 target, outside simulation window) as strategi"
11,Derek Walsh,derek_walsh,"Founder of AutoAgent, an open-source dispute routing module for agent frameworks. No commercial stake — motivated by architectural correctness. If his module ships before Day 35, it gives Rachel Torres a free third option that commoditizes both GenLayer and ClearRule for the LangGraph routing decision. Spoiler threat for Candidate D.","Founder of AutoAgent, an open-source dispute routing module for agent frameworks. No commercial stake — motivated by architectural correctness. If his module ships before Day 35, it gives Rachel Torres a free third option that commoditizes both GenLayer and ClearRule for the Lang"
12,Ben Nakamura,ben_nakamura,"Partner, AI Services Practice at Accenture (real company; Ben is a fictional simulation actor). Evaluating GenLayer as a reasoning artifact layer for an Accenture-managed AI compliance service. If he wraps GenLayer, Accenture becomes the customer-facing party and GenLayer becomes a commodity backend. Commercial capture risk for Candidates B and E. Watching FF2 closely: if DataForge integrates GenLayer directly, he loses the integration opportunity.","Partner, AI Services Practice at Accenture (real company; Ben is a fictional simulation actor). Evaluating GenLayer as a reasoning artifact layer for an Accenture-managed AI compliance service. If he wraps GenLayer, Accenture becomes the customer-facing party and GenLayer becomes"
13,Kenji Tanaka,kenji_tanaka,"CEO of CrossAgent Systems Pte Ltd (Singapore-based AI task coordination platform). Pre-committed to GenLayer arbitration clause in master services agreement with Meridian Analytics. On Day 38, withholds $18K of $47.5K contract after 3 of 12 intelligence modules fail internal quality review. Invokes GenLayer clause. No chargeback option (stablecoin). No cross-border legal recourse. Candidate F decision owner.","CEO of CrossAgent Systems Pte Ltd (Singapore-based AI task coordination platform). Pre-committed to GenLayer arbitration clause in master services agreement with Meridian Analytics. On Day 38, withholds $18K of $47.5K contract after 3 of 12 intelligence modules fail internal qual"
14,Diane Morales,diane_morales,"CEO of Meridian Analytics LLC (US-based data intelligence provider). Pre-committed to GenLayer arbitration clause. Disputes CrossAgent's quality assessment — believes outputs met the brief spec. No enforcement mechanism outside GenLayer: can't sue cross-border at machine speed, can't reverse stablecoin payment. Candidate F decision owner (Day 38–40).","CEO of Meridian Analytics LLC (US-based data intelligence provider). Pre-committed to GenLayer arbitration clause. Disputes CrossAgent's quality assessment — believes outputs met the brief spec. No enforcement mechanism outside GenLayer: can't sue cross-border at machine speed, c"
15,GenLayer,genlayer_official,"GenLayer is a programmable judgment layer for workflows blocked by ambiguity, quality disputes, or evidence evaluation. Not a dispute resolver in the traditional sense — a machine-speed adjudication backend that produces reasoning artifacts usable for compliance, attestation, insurance pricing, and payment release. One production deployment: Rentahuman.ai. No managed API, no SOC 2 as of Day 0.","GenLayer is a programmable judgment layer for workflows blocked by ambiguity, quality disputes, or evidence evaluation. Not a dispute resolver in the traditional sense — a machine-speed adjudication backend that produces reasoning artifacts usable for compliance, attestation, ins"
16,AgentHub,agenthub_official,"AgentHub is a neutral AI task marketplace providing escrow, delivery coordination, and dispute management. Holds $50K in escrow for the Priya Nair / TechVault dispute. CEO: Marcus Chen. Platform reputation depends on resolving high-value disputes cleanly.","AgentHub is a neutral AI task marketplace providing escrow, delivery coordination, and dispute management. Holds $50K in escrow for the Priya Nair / TechVault dispute. CEO: Marcus Chen. Platform reputation depends on resolving high-value disputes cleanly."
17,DataForge,dataforge_official,"DataForge is an AI services provider (~80 employees). Facing dual vendor compliance pressure: pharma procurement onboarding (FF2, Day 20) and TechVault attestation gate (Candidate E, Day 25). CEO: Sofia Eriksson. If both deadlines are missed simultaneously, the company loses two major contracts.","DataForge is an AI services provider (~80 employees). Facing dual vendor compliance pressure: pharma procurement onboarding (FF2, Day 20) and TechVault attestation gate (Candidate E, Day 25). CEO: Sofia Eriksson. If both deadlines are missed simultaneously, the company loses two "
18,TechVault Inc.,techvault_inc,TechVault Inc. is an enterprise technology buyer. Has disputed $50K of a DataForge AI task delivery (FF1) and is withholding $120K for DataForge's AI audit report pending independent attestation (Candidate E). Acceptance gatekeeper: Amara Osei. Hard deadline for attestation: Day 25.,TechVault Inc. is an enterprise technology buyer. Has disputed $50K of a DataForge AI task delivery (FF1) and is withholding $120K for DataForge's AI audit report pending independent attestation (Candidate E). Acceptance gatekeeper: Amara Osei. Hard deadline for attestation: Day 
19,DevSwarm,devswarm_official,"DevSwarm is an AI agent marketplace currently using ClearRule for dispute resolution. CEO: Zara Ahmed. CFO: David Okonkwo. Board member: Helen Reyes. Facing insurance exposure (FF3, Day 30) and a coordinated fraud spike (FF5, Day 45–47). Board must decide: patch ClearRule or migrate architecture.","DevSwarm is an AI agent marketplace currently using ClearRule for dispute resolution. CEO: Zara Ahmed. CFO: David Okonkwo. Board member: Helen Reyes. Facing insurance exposure (FF3, Day 30) and a coordinated fraud spike (FF5, Day 45–47). Board must decide: patch ClearRule or migr"
20,ClearRule,clearrule_official,"ClearRule is a fictional staking-based adjudication platform (not based on any real company). Production reference: TaskRail (fictional). Deterministic trace output only — no reasoning export. Known vulnerability: stake-gaming. CEO: Alex Petrov. Roadmap: staking caps (2 weeks), AI augmentation layer (Q3 2027, outside simulation window).","ClearRule is a fictional staking-based adjudication platform (not based on any real company). Production reference: TaskRail (fictional). Deterministic trace output only — no reasoning export. Known vulnerability: stake-gaming. CEO: Alex Petrov. Roadmap: staking caps (2 weeks), A"
21,LangGraph,langgraph_official,"LangGraph is a real open-source agent framework with 12,000 active developers. Version 4.2 is entering code freeze on Day 35. Framework architect Rachel Torres must commit the default dispute routing architecture before freeze. Her decision determines whether ClearRule, GenLayer, or a hybrid routing layer becomes the framework default.","LangGraph is a real open-source agent framework with 12,000 active developers. Version 4.2 is entering code freeze on Day 35. Framework architect Rachel Torres must commit the default dispute routing architecture before freeze. Her decision determines whether ClearRule, GenLayer,"
22,AutoAgent,autoagent_official,"AutoAgent is Derek Walsh's open-source dispute routing module. Routes disputes to any registered adjudication backend based on dispute type, value, and configuration. Free, no vendor lock-in. If it ships before Day 35, it gives Rachel Torres a third option and commoditizes both GenLayer and ClearRule for the LangGraph routing decision.","AutoAgent is Derek Walsh's open-source dispute routing module. Routes disputes to any registered adjudication backend based on dispute type, value, and configuration. Free, no vendor lock-in. If it ships before Day 35, it gives Rachel Torres a third option and commoditizes both G"
23,Nexus AI Risk,nexus_ai_risk,"Nexus AI Risk is a fictional AI liability insurer (not based on any real company). Quoting Q2 coverage for three agent marketplaces. Actuary: Marco Fiore. Pricing model distinguishes between deterministic enforcement (ClearRule-type, max $500K/event) and judgment-capable adjudication (GenLayer-type, up to $2M/event at 35% lower premium). No published standard yet for what qualifies.","Nexus AI Risk is a fictional AI liability insurer (not based on any real company). Quoting Q2 coverage for three agent marketplaces. Actuary: Marco Fiore. Pricing model distinguishes between deterministic enforcement (ClearRule-type, max $500K/event) and judgment-capable adjudica"
24,Accenture AI Services,accenture_ai,"Accenture (real company) is evaluating GenLayer as the reasoning artifact layer for a managed AI compliance service. Ben Nakamura (fictional partner) leads this evaluation. If Accenture wraps GenLayer, it owns the customer relationship and GenLayer becomes a commodity backend. The commercial capture test applies directly to this account.","Accenture (real company) is evaluating GenLayer as the reasoning artifact layer for a managed AI compliance service. Ben Nakamura (fictional partner) leads this evaluation. If Accenture wraps GenLayer, it owns the customer relationship and GenLayer becomes a commodity backend. Th"
